Category ,Service ,Cost ,Service Description,Website ,Telephone,Email,Address
Addiction & Substance Misuse,Essex Wellbeing Service ,Free,"Service Design: Users text ""SHOUT"" to 85258 to initiate a conversation. The service operates 24/7, providing round-the-clock coverage.   ",Website ,0300 303 9988,,
Addiction & Substance Misuse,Frontline,Free,"Therapeutic Model: The intervention is structured to move the texter from a ""hot moment"" of high distress to a ""cool calm."" Trained volunteers, supported by clinical supervisors, utilize active listening and planning techniques to help the user reach a safe state.   ",Website,01799 618 855,,
Addiction & Substance Misuse,Open Road ,Free,"the primary clinical hub for substance misuse in Harlow, operating from Unit 55 in The Harvey Centre.   

Access: The service prioritizes low-barrier access through drop-in assessment times (Mon-Thurs: 9:30am–12pm & 1pm–4pm), allowing individuals to seek help at the moment of motivation.   

Harm Reduction: The centre provides critical public health interventions, including a needle and syringe provision room to prevent blood-borne viruses, steroid packs, and Naloxone dispensing and training to prevent opiate overdose deaths.   

Treatment Pathways: For opiate users, Open Road works in partnership with Essex STaRS at the Princess Alexandra Hospital (Derwent Centre), ensuring medical oversight for substitution therapy.   

Holistic Support: Beyond medical treatment, the service offers one-to-one sessions, structured recovery programs, and the M-PACT program (Moving Parents and Children Together), which addresses the intergenerational impact of addiction",Website,01279 434621,,
Addiction & Substance Misuse,AL-Anon ,Free,Support groups specifically for the families and friends of people with alcohol problems,Website,0800 0086 811,,
Addiction & Substance Misuse,Phoenix Futures ,Free,"This service operates at the intersection of criminal justice and health, supporting adults (18+) involved in the justice system who have substance use needs.

Mechanism: It utilizes Conditional Cautions and Community Resolution appointments to divert individuals from custody into treatment.   

Social Inclusion: A key component is the ""Social Inclusion"" element, which is open to self-referral and focuses on connecting users with meaningful community activities to break the cycle of reoffending.",Website,0808 1000 110,,
Addiction & Substance Misuse,Essex Young People’s Drug and Alcohol Service (EYPDAS) ,Free,"Co-located with Open Road, EYPDAS offers age-appropriate interventions for those under 25. This service acknowledges that youth addiction requires a different pedagogical and therapeutic approach.   

Interventions: Support includes one-to-one counseling, telephone support, and the ""Recovery Pathway Group,"" a 6-week online course designed to educate young people on triggers and coping strategies.   

Education Link: The service delivers PSHE+ group work in schools, focusing on early intervention and the risks of emerging trends like illicit vaping.",Website,01245 493 311.,Email,
Addiction & Substance Misuse,Smart Recovery ,Free,"online meetings to Building Motivation, Coping with Urges, Managing Thoughts/Feelings, and Living a Balanced Life",Website,,,
Support for Carers,Action for Family Carers Essex,Free,"the lead provider for West Essex (Harlow, Epping, Uttlesford).

Counselling: They offer a free, confidential counseling service (up to 6 sessions) to help carers manage the emotional toll of their role.   

Grants: They facilitate ""Time 4 You"" grants, providing financial aid for carers to take a break or pursue a hobby.   

Support Groups: A Harlow support group meets at the Great Parndon Community Centre on the 2nd Tuesday of every month (10:30 am – 12:30 pm), providing peer connection.   

Day Care: They operate day care services that provide a safe environment for the cared-for person, granting the carer essential respite.",Website,0300 770 80 90,,
Support for Carers,Carers First ,Free,"While Carers First is the lead for Mid/South Essex, they provide extensive online resources and the ""Caring Confidently"" training course, which helps carers build resilience and knowledge, accessible to all in the wider region.",Website,0300 303 1555,,
Support for Carers,Essex Carers Support ,Free,"Local wellbeing groups, counselling, and grants for adult family carers",Website,01255 474410,,
